"Nsat" "Rcore" "Rsat" "gap" "satellite"
1 20 2 1 "Ag"
50 20 2 1 "Ag"
100 20 2 1 "Ag"
150 20 2 1 "Ag"
200 20 2 1 "Ag"
1 30 2 1 "Ag"
50 30 2 1 "Ag"
100 30 2 1 "Ag"
150 30 2 1 "Ag"
200 30 2 1 "Ag"
1 40 2 1 "Ag"
50 40 2 1 "Ag"
100 40 2 1 "Ag"
150 40 2 1 "Ag"
200 40 2 1 "Ag"
1 20 2.5 1 "Ag"
50 20 2.5 1 "Ag"
100 20 2.5 1 "Ag"
150 20 2.5 1 "Ag"
200 20 2.5 1 "Ag"
1 30 2.5 1 "Ag"
50 30 2.5 1 "Ag"
100 30 2.5 1 "Ag"
150 30 2.5 1 "Ag"
200 30 2.5 1 "Ag"
1 40 2.5 1 "Ag"
50 40 2.5 1 "Ag"
100 40 2.5 1 "Ag"
150 40 2.5 1 "Ag"
200 40 2.5 1 "Ag"
1 20 3 1 "Ag"
50 20 3 1 "Ag"
100 20 3 1 "Ag"
150 20 3 1 "Ag"
200 20 3 1 "Ag"
1 30 3 1 "Ag"
50 30 3 1 "Ag"
100 30 3 1 "Ag"
150 30 3 1 "Ag"
200 30 3 1 "Ag"
1 40 3 1 "Ag"
50 40 3 1 "Ag"
100 40 3 1 "Ag"
150 40 3 1 "Ag"
200 40 3 1 "Ag"
1 20 2 2 "Ag"
50 20 2 2 "Ag"
100 20 2 2 "Ag"
150 20 2 2 "Ag"
200 20 2 2 "Ag"
1 30 2 2 "Ag"
50 30 2 2 "Ag"
100 30 2 2 "Ag"
150 30 2 2 "Ag"
200 30 2 2 "Ag"
1 40 2 2 "Ag"
50 40 2 2 "Ag"
100 40 2 2 "Ag"
150 40 2 2 "Ag"
200 40 2 2 "Ag"
1 20 2.5 2 "Ag"
50 20 2.5 2 "Ag"
100 20 2.5 2 "Ag"
150 20 2.5 2 "Ag"
200 20 2.5 2 "Ag"
1 30 2.5 2 "Ag"
50 30 2.5 2 "Ag"
100 30 2.5 2 "Ag"
150 30 2.5 2 "Ag"
200 30 2.5 2 "Ag"
1 40 2.5 2 "Ag"
50 40 2.5 2 "Ag"
100 40 2.5 2 "Ag"
150 40 2.5 2 "Ag"
200 40 2.5 2 "Ag"
1 20 3 2 "Ag"
50 20 3 2 "Ag"
100 20 3 2 "Ag"
150 20 3 2 "Ag"
200 20 3 2 "Ag"
1 30 3 2 "Ag"
50 30 3 2 "Ag"
100 30 3 2 "Ag"
150 30 3 2 "Ag"
200 30 3 2 "Ag"
1 40 3 2 "Ag"
50 40 3 2 "Ag"
100 40 3 2 "Ag"
150 40 3 2 "Ag"
200 40 3 2 "Ag"
1 20 2 1 "Pd"
50 20 2 1 "Pd"
100 20 2 1 "Pd"
150 20 2 1 "Pd"
200 20 2 1 "Pd"
1 30 2 1 "Pd"
50 30 2 1 "Pd"
100 30 2 1 "Pd"
150 30 2 1 "Pd"
200 30 2 1 "Pd"
1 40 2 1 "Pd"
50 40 2 1 "Pd"
100 40 2 1 "Pd"
150 40 2 1 "Pd"
200 40 2 1 "Pd"
1 20 2.5 1 "Pd"
50 20 2.5 1 "Pd"
100 20 2.5 1 "Pd"
150 20 2.5 1 "Pd"
200 20 2.5 1 "Pd"
1 30 2.5 1 "Pd"
50 30 2.5 1 "Pd"
100 30 2.5 1 "Pd"
150 30 2.5 1 "Pd"
200 30 2.5 1 "Pd"
1 40 2.5 1 "Pd"
50 40 2.5 1 "Pd"
100 40 2.5 1 "Pd"
150 40 2.5 1 "Pd"
200 40 2.5 1 "Pd"
1 20 3 1 "Pd"
50 20 3 1 "Pd"
100 20 3 1 "Pd"
150 20 3 1 "Pd"
200 20 3 1 "Pd"
1 30 3 1 "Pd"
50 30 3 1 "Pd"
100 30 3 1 "Pd"
150 30 3 1 "Pd"
200 30 3 1 "Pd"
1 40 3 1 "Pd"
50 40 3 1 "Pd"
100 40 3 1 "Pd"
150 40 3 1 "Pd"
200 40 3 1 "Pd"
1 20 2 2 "Pd"
50 20 2 2 "Pd"
100 20 2 2 "Pd"
150 20 2 2 "Pd"
200 20 2 2 "Pd"
1 30 2 2 "Pd"
50 30 2 2 "Pd"
100 30 2 2 "Pd"
150 30 2 2 "Pd"
200 30 2 2 "Pd"
1 40 2 2 "Pd"
50 40 2 2 "Pd"
100 40 2 2 "Pd"
150 40 2 2 "Pd"
200 40 2 2 "Pd"
1 20 2.5 2 "Pd"
50 20 2.5 2 "Pd"
100 20 2.5 2 "Pd"
150 20 2.5 2 "Pd"
200 20 2.5 2 "Pd"
1 30 2.5 2 "Pd"
50 30 2.5 2 "Pd"
100 30 2.5 2 "Pd"
150 30 2.5 2 "Pd"
200 30 2.5 2 "Pd"
1 40 2.5 2 "Pd"
50 40 2.5 2 "Pd"
100 40 2.5 2 "Pd"
150 40 2.5 2 "Pd"
200 40 2.5 2 "Pd"
1 20 3 2 "Pd"
50 20 3 2 "Pd"
100 20 3 2 "Pd"
150 20 3 2 "Pd"
200 20 3 2 "Pd"
1 30 3 2 "Pd"
50 30 3 2 "Pd"
100 30 3 2 "Pd"
150 30 3 2 "Pd"
200 30 3 2 "Pd"
1 40 3 2 "Pd"
50 40 3 2 "Pd"
100 40 3 2 "Pd"
150 40 3 2 "Pd"
200 40 3 2 "Pd"
