"Nsat" "Rcore" "Rsat" "gap" "satellite" "wavelength" "total_absorption" "sat_absorption"
1 20 2 1 "Ag" 350 2038.99202074867 1.25080967132422
1 20 2 1 "Ag" 352 2034.53833628172 1.3768512242585
1 20 2 1 "Ag" 354 2030.24441667209 1.52126257540569
1 20 2 1 "Ag" 356 2026.05690257538 1.68759103499382
1 20 2 1 "Ag" 358 2021.92394488028 1.88025460298956
1 20 2 1 "Ag" 360 2017.79597639015 2.10480512140782
1 20 2 1 "Ag" 362 2013.62656288901 2.36828629974741
1 20 2 1 "Ag" 364 2009.37336152043 2.67972622843875
1 20 2 1 "Ag" 366 2004.99922898353 3.050822482469
1 20 2 1 "Ag" 368 2000.47354007466 3.49690541819534
1 20 2 1 "Ag" 370 1995.77379384837 4.0383054569164
1 20 2 1 "Ag" 372 1990.88758354147 4.70230594471632
1 20 2 1 "Ag" 374 1985.81493893614 5.52592998709986
1 20 2 1 "Ag" 376 1980.57078614555 6.55985058218987
1 20 2 1 "Ag" 378 1975.18648501845 7.87357403478861
1 20 2 1 "Ag" 380 1969.70736811856 9.56117526204953
1 20 2 1 "Ag" 382 1964.17868041967 11.7434614129144
1 20 2 1 "Ag" 384 1958.6054312112 14.5514306403489
1 20 2 1 "Ag" 386 1952.87654878021 18.0481398643138
1 20 2 1 "Ag" 388 1946.72738349878 22.0163356730992
1 20 2 1 "Ag" 390 1940.04721095369 25.6766811704337
1 20 2 1 "Ag" 392 1933.62880352959 27.9153198331102
1 20 2 1 "Ag" 394 1928.93697256447 28.2775221347343
1 20 2 1 "Ag" 396 1926.32300882508 27.1867271248812
1 20 2 1 "Ag" 398 1924.53060591214 25.1568648747964
1 20 2 1 "Ag" 400 1921.96621587144 22.5373653265363
1 20 2 1 "Ag" 402 1917.72823740496 19.6591838720456
1 20 2 1 "Ag" 404 1911.73486265979 16.8321110774875
1 20 2 1 "Ag" 406 1904.37112475804 14.2662922831006
1 20 2 1 "Ag" 408 1896.13411898221 12.0537857443868
1 20 2 1 "Ag" 410 1887.45205207734 10.2022836995764
1 20 2 1 "Ag" 412 1878.63975959432 8.67640595903831
1 20 2 1 "Ag" 414 1869.91408923742 7.42612930078289
1 20 2 1 "Ag" 416 1861.4227875273 6.4015592559447
1 20 2 1 "Ag" 418 1853.26939395398 5.55892056070863
1 20 2 1 "Ag" 420 1845.53066922933 4.86204766042807
1 20 2 1 "Ag" 422 1838.26772250408 4.28193946414663
