"measurement" "Pmax" "sample"
1 8.5816102073608 "A"
2 8.48686006085133 "A"
3 10.438033723492 "A"
4 9.06418230075161 "A"
5 9.01251751073361 "A"
6 11.1318901573082 "A"
7 9.6533032282365 "A"
8 7.10715638229454 "A"
9 8.26484191194595 "A"
10 8.23244481414255 "A"
11 10.6240191222376 "A"
12 9.80649358043431 "A"
13 9.59507548210579 "A"
14 8.91351489651617 "A"
15 8.63692957220014 "A"
16 11.6203886202288 "A"
17 9.76656440550124 "A"
18 6.43889039042605 "A"
19 9.56060024161704 "A"
20 8.82963214936569 "A"
21 7.27172534735825 "A"
22 9.49156580815085 "A"
23 8.17923846767467 "A"
24 7.85816125828133 "A"
25 7.67688059167325 "A"
26 6.42313607055514 "A"
27 10.0918766415055 "A"
28 9.00070830180252 "A"
29 7.28140494212538 "A"
30 10.1493119704849 "A"
31 9.43639239799629 "A"
32 8.20244528432722 "A"
33 9.39648658472327 "A"
34 9.88948292567785 "A"
35 10.335654049753 "A"
36 9.56509354528676 "A"
37 9.86327867848888 "A"
38 8.1723616929346 "A"
39 8.48002375092829 "A"
40 8.61315058026129 "A"
41 8.11734227227002 "A"
42 8.6719780162341 "A"
43 6.99870233963911 "A"
44 11.3797610165266 "A"
45 10.0606990815545 "A"
46 7.4870174806757 "A"
47 7.99725986843728 "A"
48 8.09712506280955 "A"
49 9.81151777695791 "A"
50 9.52916501567951 "A"
51 8.968534107515 "A"
52 8.95704384696063 "A"
53 8.87545274534677 "A"
54 10.2944403155667 "A"
55 8.57797448419351 "A"
56 11.4492321291277 "A"
57 7.0672229757324 "A"
58 9.67649104332407 "A"
59 8.89201178406215 "A"
60 8.35942515075096 "A"
61 9.84606621295352 "A"
62 7.66272348258798 "A"
63 8.76280940558069 "A"
64 8.33949342964778 "A"
65 6.92911414119303 "A"
66 9.57530096797542 "A"
67 9.37779371645727 "A"
68 8.34004783109146 "A"
69 9.49308064673096 "A"
70 10.9244956218855 "A"
71 8.04929687525838 "A"
72 5.31337822766858 "A"
73 10.4826267909913 "A"
74 8.81808258485316 "A"
75 7.49077660817836 "A"
1 8.81895301878931 "B"
2 11.949600022972 "B"
3 9.25690243014547 "B"
4 8.56107970520471 "B"
5 9.35754557679727 "B"
6 10.6291894952603 "B"
7 8.77160330993164 "B"
8 7.44978286017847 "B"
9 12.1298570760444 "B"
10 8.22016489589569 "B"
11 8.82460566798971 "B"
12 6.63479372889714 "B"
13 6.41928931742441 "B"
14 10.5651650834425 "B"
15 9.67337983232084 "B"
16 10.8625467085801 "B"
17 10.5362224671935 "B"
18 8.25223334607053 "B"
19 9.54545334335797 "B"
20 8.37184012001746 "B"
21 7.9451282184472 "B"
22 10.3842158220354 "B"
23 7.65432331233811 "B"
24 13.3273278810008 "B"
25 8.45461730105683 "B"
26 8.63315697032864 "B"
27 8.09251309278435 "B"
28 8.51319235894162 "B"
29 7.56174385000979 "B"
30 8.52304872338041 "B"
31 8.94224707311442 "B"
32 10.4382557050886 "B"
33 7.76109364655586 "B"
34 7.39007023694704 "B"
35 8.23152609606123 "B"
36 11.0564618117409 "B"
37 8.2847191338675 "B"
38 8.90864387240576 "B"
39 12.2911441999797 "B"
40 8.60913074851909 "B"
41 7.34633473135717 "B"
42 7.94204265257273 "B"
43 9.84585244018833 "B"
44 7.94740162907804 "B"
45 7.39581201770072 "B"
46 10.0165652415437 "B"
47 9.6471914825656 "B"
48 10.4620223264667 "B"
49 8.54819270132927 "B"
50 9.78328323539401 "B"
51 11.5222230061294 "B"
52 9.85959322979486 "B"
53 6.76833565626572 "B"
54 8.75067159688894 "B"
55 8.12414340206293 "B"
56 8.83264337963523 "B"
57 10.3682561622384 "B"
1 5.32066694012541 "C"
2 5.58938789241869 "C"
3 3.61218082587235 "C"
4 3.69482929337223 "C"
5 2.83647263881228 "C"
6 3.78865190183495 "C"
7 5.01219273737838 "C"
8 4.95488599728918 "C"
9 4.20449664504597 "C"
10 2.34532576390081 "C"
11 4.68906277476782 "C"
12 3.5758866685381 "C"
13 3.22050716624226 "C"
14 4.01622545396324 "C"
15 4.37384396350878 "C"
16 4.0436086568122 "C"
17 2.09961174148218 "C"
18 4.75774074540402 "C"
19 4.91053492042018 "C"
20 3.94647217330373 "C"
21 3.48943314305766 "C"
22 3.83812109084266 "C"
23 4.28294531223453 "C"
24 4.94209502974922 "C"
25 2.72908945604589 "C"
26 4.49889270072127 "C"
27 4.47655784487551 "C"
28 4.50803588873276 "C"
29 5.57808278062646 "C"
30 3.10643603294176 "C"
31 5.94793732352513 "C"
32 3.38823291491113 "C"
33 5.26330112228998 "C"
34 2.82397096198992 "C"
35 3.3958341853597 "C"
36 4.6352524896191 "C"
