"Nsat" "Rcore" "Rsat" "gap" "satellite" "wavelength" "total_absorption" "sat_absorption"
1 30 2 1 "Ag" 350 5907.55714989323 1.23191015896204
1 30 2 1 "Ag" 352 5913.80619870079 1.3595526433952
1 30 2 1 "Ag" 354 5920.30673604138 1.50590896398367
1 30 2 1 "Ag" 356 5926.97093182521 1.67459747283988
1 30 2 1 "Ag" 358 5933.70560391003 1.87012005829015
1 30 2 1 "Ag" 360 5940.41355397277 2.09812682643574
1 30 2 1 "Ag" 362 5946.99500722888 2.36577516290848
1 30 2 1 "Ag" 364 5953.3491593008 2.68222204729509
1 30 2 1 "Ag" 366 5959.37584145331 3.05930631164663
1 30 2 1 "Ag" 368 5964.97732649985 3.512503819587
1 30 2 1 "Ag" 370 5970.06031034682 4.06227656912487
1 30 2 1 "Ag" 372 5974.53811090533 4.73598885542832
1 30 2 1 "Ag" 374 5978.33310300811 5.57062501680836
1 30 2 1 "Ag" 376 5981.37928814473 6.6165795209703
1 30 2 1 "Ag" 378 5983.62451126569 7.94266290706673
1 30 2 1 "Ag" 380 5985.03080230456 9.64169690991886
1 30 2 1 "Ag" 382 5985.56901152901 11.8331370340528
1 30 2 1 "Ag" 384 5985.20050909218 14.6498407812762
1 30 2 1 "Ag" 386 5983.84197860276 18.1725678620819
1 30 2 1 "Ag" 388 5981.35535618019 22.2464561097475
1 30 2 1 "Ag" 390 5977.73828804679 26.2051010320428
1 30 2 1 "Ag" 392 5973.61329420921 28.9613151042107
1 30 2 1 "Ag" 394 5970.2024644557 29.8720732015323
1 30 2 1 "Ag" 396 5968.12013501081 29.1822283800303
1 30 2 1 "Ag" 398 5966.67478390765 27.3785121937306
1 30 2 1 "Ag" 400 5964.5656464423 24.8240916254397
1 30 2 1 "Ag" 402 5960.78312530807 21.8700859296646
1 30 2 1 "Ag" 404 5954.95792025995 18.8685750925191
1 30 2 1 "Ag" 406 5947.23015470672 16.0810692175586
1 30 2 1 "Ag" 408 5937.97418590833 13.6400230247089
1 30 2 1 "Ag" 410 5927.60087977069 11.5762518463358
1 30 2 1 "Ag" 412 5916.47277186336 9.86387658282744
1 30 2 1 "Ag" 414 5904.88806309786 8.45443361421837
1 30 2 1 "Ag" 416 5893.09142339504 7.29587647198903
1 30 2 1 "Ag" 418 5881.28998282782 6.340983944159
1 30 2 1 "Ag" 420 5869.66685044148 5.5500212396736
1 30 2 1 "Ag" 422 5858.39072450433 4.89077358945701
1 30 2 1 "Ag" 424 5847.622192935 4.33759292304774
1 30 2 1 "Ag" 426 5837.51768540211 3.87021568186137
1 30 2 1 "Ag" 428 5828.23188951953 3.47265853285017
1 30 2 1 "Ag" 430 5819.91920941613 3.13228966810944
1 30 2 1 "Ag" 432 5812.73464933422 2.83908529901652
1 30 2 1 "Ag" 434 5806.83436652303 2.58504893035205
1 30 2 1 "Ag" 436 5802.37604631832 2.36376317878261
1 30 2 1 "Ag" 438 5799.51919384074 2.17004553755301
1 30 2 1 "Ag" 440 5798.42539985075 1.9996841134786
1 30 2 1 "Ag" 442 5799.25861510362 1.849234327523
1 30 2 1 "Ag" 444 5802.18545293321 1.71586193006993
1 30 2 1 "Ag" 446 5807.37553051624 1.59722120651992
1 30 2 1 "Ag" 448 5815.0018532928 1.49135998386269
1 30 2 1 "Ag" 450 5825.24124306023 1.39664512601089
1 30 2 1 "Ag" 452 5838.27480749477 1.31170376568914
1 30 2 1 "Ag" 454 5854.28844674741 1.2353766863716
1 30 2 1 "Ag" 456 5873.47339093549 1.16668113766563
1 30 2 1 "Ag" 458 5896.02676053585 1.10478101740019
1 30 2 1 "Ag" 460 5922.15213966085 1.04896284042724
1 30 2 1 "Ag" 462 5952.0601497727 0.998616280035479
1 30 2 1 "Ag" 464 5985.96900837711 0.953218344075487
1 30 2 1 "Ag" 466 6024.10505344202 0.912320457321081
1 30 2 1 "Ag" 468 6066.7032094939 0.875537881100896
1 30 2 1 "Ag" 470 6114.00736531145 0.842541023224136
1 30 2 1 "Ag" 472 6166.27062558039 0.813048284837098
1 30 2 1 "Ag" 474 6223.7553894635 0.78682016282152
1 30 2 1 "Ag" 476 6286.73319739539 0.763654381656137
1 30 2 1 "Ag" 478 6355.4842730857 0.743381870970944
1 30 2 1 "Ag" 480 6430.29667020642 0.725863437010562
1 30 2 1 "Ag" 482 6511.46491198196 0.710986999834945
1 30 2 1 "Ag" 484 6599.28798628856 0.698665284715397
1 30 2 1 "Ag" 486 6694.06652826682 0.688833866809371
1 30 2 1 "Ag" 488 6796.09898625409 0.681449473507645
1 30 2 1 "Ag" 490 6905.67652454454 0.676488449338678
1 30 2 1 "Ag" 492 7023.07636780617 0.673945284410135
1 30 2 1 "Ag" 494 7148.55323706899 0.673831099527579
1 30 2 1 "Ag" 496 7282.32846690798 0.676171969986914
1 30 2 1 "Ag" 498 7424.57632980597 0.68100695653543
1 30 2 1 "Ag" 500 7575.40703054505 0.688385697535455
1 30 2 1 "Ag" 502 7734.84577746724 0.698365402914298
1 30 2 1 "Ag" 504 7902.80729930028 0.711007080650129
1 30 2 1 "Ag" 506 8079.06517261012 0.726370823546235
1 30 2 1 "Ag" 508 8263.2153806498 0.744509991602947
1 30 2 1 "Ag" 510 8454.6336750396 0.765464147434986
1 30 2 1 "Ag" 512 8652.42660614575 0.789250643080584
1 30 2 1 "Ag" 514 8855.37658933341 0.815854820550142
1 30 2 1 "Ag" 516 9061.8821576999 0.845218880419572
1 30 2 1 "Ag" 518 9269.89569626333 0.87722959872193
1 30 2 1 "Ag" 520 9476.8625213164 0.911705240183378
1 30 2 1 "Ag" 522 9679.66717624207 0.948382234839825
1 30 2 1 "Ag" 524 9874.59517675286 0.986902463339608
1 30 2 1 "Ag" 526 10057.3209063887 1.02680233378499
1 30 2 1 "Ag" 528 10222.9344625087 1.06750521012525
1 30 2 1 "Ag" 530 10366.0212475845 1.10831911487254
1 30 2 1 "Ag" 532 10480.8070312641 1.14844187654043
1 30 2 1 "Ag" 534 10561.3770592868 1.18697587667859
1 30 2 1 "Ag" 536 10601.9698116609 1.22295409999281
1 30 2 1 "Ag" 538 10597.3342126195 1.25537816003912
1 30 2 1 "Ag" 540 10543.1246944296 1.28326732792381
1 30 2 1 "Ag" 542 10436.294223362 1.30571549021863
1 30 2 1 "Ag" 544 10275.4351205924 1.32195079676583
1 30 2 1 "Ag" 546 10061.0153786159 1.33139110686659
1 30 2 1 "Ag" 548 9795.46697035888 1.33368780745022
1 30 2 1 "Ag" 550 9483.1022883572 1.32875155511355
1 30 2 1 "Ag" 552 9129.86170106964 1.31675596337575
1 30 2 1 "Ag" 554 8742.9228656968 1.29811871011437
1 30 2 1 "Ag" 556 8330.22383121244 1.27346312538342
1 30 2 1 "Ag" 558 7899.96194158831 1.24356613849012
1 30 2 1 "Ag" 560 7460.12761048462 1.20929989188695
1 30 2 1 "Ag" 562 7018.11852332095 1.17157420847568
1 30 2 1 "Ag" 564 6580.4605721883 1.1312857178782
1 30 2 1 "Ag" 566 6152.64217535695 1.08927736599535
1 30 2 1 "Ag" 568 5739.05268452037 1.04630984782457
1 30 2 1 "Ag" 570 5343.00540144589 1.00304466926194
1 30 2 1 "Ag" 572 4966.8214218267 0.960037291453611
1 30 2 1 "Ag" 574 4611.95091092443 0.91773816920292
1 30 2 1 "Ag" 576 4279.111786052 0.876499356636543
1 30 2 1 "Ag" 578 3968.43050954941 0.83658455608961
1 30 2 1 "Ag" 580 3679.57456034701 0.798180870057702
1 30 2 1 "Ag" 582 3411.87041225424 0.761410955922111
1 30 2 1 "Ag" 584 3164.40417525548 0.726344697712647
1 30 2 1 "Ag" 586 2936.10441060652 0.693009856216105
1 30 2 1 "Ag" 588 2725.80813055479 0.661401424469326
1 30 2 1 "Ag" 590 2532.31182390403 0.631489603709041
1 30 2 1 "Ag" 592 2354.40969975814 0.60322643741084
1 30 2 1 "Ag" 594 2190.92137840413 0.576551213053508
1 30 2 1 "Ag" 596 2040.71110846645 0.551394776896205
1 30 2 1 "Ag" 598 1902.70034476694 0.527682918273176
1 30 2 1 "Ag" 600 1775.87524251762 0.505338975889832
1 30 2 1 "Ag" 602 1659.29034774237 0.4842858059886
1 30 2 1 "Ag" 604 1552.06951161095 0.464447235576624
1 30 2 1 "Ag" 606 1453.40483698186 0.445749106079417
1 30 2 1 "Ag" 608 1362.55428128023 0.428119995548261
1 30 2 1 "Ag" 610 1278.83838930945 0.411491691841623
1 30 2 1 "Ag" 612 1201.63650914699 0.395799475438427
1 30 2 1 "Ag" 614 1130.38274957176 0.380982258813888
1 30 2 1 "Ag" 616 1064.56186413498 0.366982619522745
1 30 2 1 "Ag" 618 1003.70519097973 0.353746756099764
1 30 2 1 "Ag" 620 947.38673530456 0.341224389375736
1 30 2 1 "Ag" 622 895.219449981805 0.329368626586014
1 30 2 1 "Ag" 624 846.851746839346 0.318135801500573
1 30 2 1 "Ag" 626 801.964254534323 0.307485300535763
1 30 2 1 "Ag" 628 760.266827232607 0.297379382250148
1 30 2 1 "Ag" 630 721.495800243433 0.28778299564061
1 30 2 1 "Ag" 632 685.411483403348 0.278663601121484
1 30 2 1 "Ag" 634 651.795879636435 0.269990996896182
1 30 2 1 "Ag" 636 620.450614190417 0.261737152538027
1 30 2 1 "Ag" 638 591.195059147537 0.253876050925155
1 30 2 1 "Ag" 640 563.864637625726 0.246383539173284
1 30 2 1 "Ag" 642 538.309292390575 0.239237188841216
1 30 2 1 "Ag" 644 514.392104223241 0.232416165416882
1 30 2 1 "Ag" 646 491.988046211392 0.225901106902353
1 30 2 1 "Ag" 648 470.982861061595 0.219674011185952
1 30 2 1 "Ag" 650 451.272049509977 0.213718131803864
1 30 2 1 "Ag" 652 432.75995889058 0.208017881641333
1 30 2 1 "Ag" 654 415.358961878707 0.202558744095828
1 30 2 1 "Ag" 656 398.988716340872 0.19732719121483
1 30 2 1 "Ag" 658 383.575498082608 0.192310608324214
1 30 2 1 "Ag" 660 369.051599084458 0.187497224675441
1 30 2 1 "Ag" 662 355.354784552438 0.182876049658291
1 30 2 1 "Ag" 664 342.427802782793 0.178436814148153
1 30 2 1 "Ag" 666 330.217942453587 0.174169916581629
1 30 2 1 "Ag" 668 318.676632510948 0.170066373379978
1 30 2 1 "Ag" 670 307.759080318952 0.166117773365915
1 30 2 1 "Ag" 672 297.423944193596 0.162316235844948
1 30 2 1 "Ag" 674 287.633036846692 0.158654372047205
1 30 2 1 "Ag" 676 278.351056629268 0.155125249649491
1 30 2 1 "Ag" 678 269.54534378968 0.151722360119701
1 30 2 1 "Ag" 680 261.185659253147 0.148439588646854
1 30 2 1 "Ag" 682 253.24398368981 0.145271186439638
1 30 2 1 "Ag" 684 245.694334871305 0.142211745194682
1 30 2 1 "Ag" 686 238.512601523612 0.139256173552645
1 30 2 1 "Ag" 688 231.676392069658 0.136399675375775
1 30 2 1 "Ag" 690 225.164896820882 0.13363772969495
1 30 2 1 "Ag" 692 218.958762324888 0.130966072187358
1 30 2 1 "Ag" 694 213.039976708616 0.128380678057975
1 30 2 1 "Ag" 696 207.3917649744 0.125877746209024
1 30 2 1 "Ag" 698 201.99849331177 0.123453684591692
1 30 2 1 "Ag" 700 196.845581582215 0.121105096643479
1 30 2 1 "Ag" 702 191.919423218303 0.118828768723011
1 30 2 1 "Ag" 704 187.207311854064 0.116621658461686
1 30 2 1 "Ag" 706 182.697374070978 0.114480883958582
1 30 2 1 "Ag" 708 178.378507704378 0.112403713751242
1 30 2 1 "Ag" 710 174.240325209241 0.110387557500889
1 30 2 1 "Ag" 712 170.273101632877 0.108429957335693
1 30 2 1 "Ag" 714 166.467726785571 0.106528579800675
1 30 2 1 "Ag" 716 162.815661239417 0.104681208366996
1 30 2 1 "Ag" 718 159.30889582055 0.102885736457553
1 30 2 1 "Ag" 720 155.939914291736 0.101140160949214
1 30 2 1 "Ag" 722 152.701658950505 0.0994425761154942
1 30 2 1 "Ag" 724 149.587498893681 0.0977911679763425
1 30 2 1 "Ag" 726 146.591200722124 0.0961842090245285
1 30 2 1 "Ag" 728 143.706901480259 0.0946200533006007
1 30 2 1 "Ag" 730 140.929083643673 0.0930971317906304
1 30 2 1 "Ag" 732 138.252551984949 0.091613948123077
1 30 2 1 "Ag" 734 135.672412163153 0.0901690745430166
1 30 2 1 "Ag" 736 133.184050896156 0.0887611481436558
1 30 2 1 "Ag" 738 130.783117587491 0.0873888673367093
1 30 2 1 "Ag" 740 128.465507290643 0.0860509885446452
1 30 2 1 "Ag" 742 126.227344903968 0.0847463230990932
1 30 2 1 "Ag" 744 124.064970498645 0.0834737343310075
1 30 2 1 "Ag" 746 121.974925690468 0.082232134839226
1 30 2 1 "Ag" 748 119.953940973948 0.0810204839250942
1 30 2 1 "Ag" 750 117.998923944037 0.0798377851818214
50 30 2 1 "Ag" 350 5700.76511179445 65.2580312484787
50 30 2 1 "Ag" 352 5693.41760187756 72.216192069109
50 30 2 1 "Ag" 354 5685.15147961547 80.2197276932191
50 30 2 1 "Ag" 356 5675.76523470741 89.473769115692
50 30 2 1 "Ag" 358 5665.04880931554 100.233499417947
50 30 2 1 "Ag" 360 5652.79019556494 112.818802005029
50 30 2 1 "Ag" 362 5638.78598571573 127.633847539544
50 30 2 1 "Ag" 364 5622.85822955676 145.19344528046
50 30 2 1 "Ag" 366 5604.88136348646 166.158664251777
50 30 2 1 "Ag" 368 5584.82519250195 191.385102721196
50 30 2 1 "Ag" 370 5562.82330195009 221.988193999457
50 30 2 1 "Ag" 372 5539.28120182207 259.430793362701
50 30 2 1 "Ag" 374 5515.04481954605 305.638053757595
50 30 2 1 "Ag" 376 5491.65546976076 363.140543579271
50 30 2 1 "Ag" 378 5471.71345903982 435.231067820877
50 30 2 1 "Ag" 380 5459.33253128684 526.072427411832
50 30 2 1 "Ag" 382 5460.52379913682 640.553082626626
50 30 2 1 "Ag" 384 5482.97078004389 783.300906607251
50 30 2 1 "Ag" 386 5533.9860856163 955.342918648696
50 30 2 1 "Ag" 388 5615.38314826834 1145.69558969436
50 30 2 1 "Ag" 390 5718.36146030719 1318.54255444064
50 30 2 1 "Ag" 392 5830.82427172248 1416.04443248375
50 30 2 1 "Ag" 394 5955.70840380272 1403.0677956476
50 30 2 1 "Ag" 396 6101.80807408838 1301.7627271684
50 30 2 1 "Ag" 398 6256.98439075615 1158.00477309474
50 30 2 1 "Ag" 400 6395.60996790278 1005.01559458828
50 30 2 1 "Ag" 402 6500.27642468645 860.298740407526
50 30 2 1 "Ag" 404 6567.54705049521 731.760924457177
50 30 2 1 "Ag" 406 6602.61702662056 621.786456683403
50 30 2 1 "Ag" 408 6613.36916644615 529.711054502516
50 30 2 1 "Ag" 410 6607.15566965052 453.464812871922
50 30 2 1 "Ag" 412 6589.74282450502 390.56900688233
50 30 2 1 "Ag" 414 6565.29538969355 338.646272408891
50 30 2 1 "Ag" 416 6536.69916960299 295.627158747795
50 30 2 1 "Ag" 418 6505.9155279989 259.796809125084
50 30 2 1 "Ag" 420 6474.27022439853 229.770307637377
50 30 2 1 "Ag" 422 6442.66359551656 204.443331805719
50 30 2 1 "Ag" 424 6411.71555336775 182.939750648983
50 30 2 1 "Ag" 426 6381.86295804421 164.564770085991
50 30 2 1 "Ag" 428 6353.42413251273 148.766071371424
50 30 2 1 "Ag" 430 6326.6413428295 135.102775317644
50 30 2 1 "Ag" 432 6301.70870900626 123.221138609699
50 30 2 1 "Ag" 434 6278.79054596599 112.835704777354
50 30 2 1 "Ag" 436 6258.03343577569 103.714740433663
50 30 2 1 "Ag" 438 6239.57419825018 95.6689840526011
50 30 2 1 "Ag" 440 6223.54518071576 88.542935220746
50 30 2 1 "Ag" 442 6210.0777995183 82.2080865833951
50 30 2 1 "Ag" 444 6199.30494679501 76.5576416807509
50 30 2 1 "Ag" 446 6191.36266708835 71.5023718035366
50 30 2 1 "Ag" 448 6186.3913710452 66.9673490448662
50 30 2 1 "Ag" 450 6184.53676273617 62.8893563107422
50 30 2 1 "Ag" 452 6185.95059687153 59.2148229195194
50 30 2 1 "Ag" 454 6190.79134187618 55.8981704039252
50 30 2 1 "Ag" 456 6199.22479755719 52.9004802004884
50 30 2 1 "Ag" 458 6211.42469744139 50.1884153246365
50 30 2 1 "Ag" 460 6227.57331278011 47.7333435734041
50 30 2 1 "Ag" 462 6247.86206568866 45.5106215271365
50 30 2 1 "Ag" 464 6272.49215151991 43.4990075682749
50 30 2 1 "Ag" 466 6301.6751643761 41.6801789892787
50 30 2 1 "Ag" 468 6335.63371390878 40.0383335352765
