"Nsat" "Rcore" "Rsat" "gap" "satellite" "wavelength" "total_absorption" "sat_absorption"
1 30 2 1 "Ag" 350 5907.55714989323 1.23191015896204
1 30 2 1 "Ag" 360 5940.41355397277 2.09812682643574
1 30 2 1 "Ag" 370 5970.06031034682 4.06227656912487
1 30 2 1 "Ag" 380 5985.03080230456 9.64169690991886
1 30 2 1 "Ag" 390 5977.73828804679 26.2051010320428
1 30 2 1 "Ag" 400 5964.5656464423 24.8240916254397
1 30 2 1 "Ag" 410 5927.60087977069 11.5762518463358
1 30 2 1 "Ag" 420 5869.66685044148 5.5500212396736
1 30 2 1 "Ag" 430 5819.91920941613 3.13228966810944
1 30 2 1 "Ag" 440 5798.42539985075 1.9996841134786
1 30 2 1 "Ag" 450 5825.24124306023 1.39664512601089
1 30 2 1 "Ag" 460 5922.15213966085 1.04896284042724
1 30 2 1 "Ag" 470 6114.00736531145 0.842541023224136
1 30 2 1 "Ag" 480 6430.29667020642 0.725863437010562
1 30 2 1 "Ag" 490 6905.67652454454 0.676488449338678
1 30 2 1 "Ag" 500 7575.40703054505 0.688385697535455
1 30 2 1 "Ag" 510 8454.6336750396 0.765464147434986
1 30 2 1 "Ag" 520 9476.8625213164 0.911705240183378
1 30 2 1 "Ag" 530 10366.0212475845 1.10831911487254
1 30 2 1 "Ag" 540 10543.1246944296 1.28326732792381
1 30 2 1 "Ag" 550 9483.1022883572 1.32875155511355
1 30 2 1 "Ag" 560 7460.12761048462 1.20929989188695
1 30 2 1 "Ag" 570 5343.00540144589 1.00304466926194
1 30 2 1 "Ag" 580 3679.57456034701 0.798180870057702
1 30 2 1 "Ag" 590 2532.31182390403 0.631489603709041
1 30 2 1 "Ag" 600 1775.87524251762 0.505338975889832
1 30 2 1 "Ag" 610 1278.83838930945 0.411491691841623
1 30 2 1 "Ag" 620 947.38673530456 0.341224389375736
1 30 2 1 "Ag" 630 721.495800243433 0.28778299564061
1 30 2 1 "Ag" 640 563.864637625726 0.246383539173284
1 30 2 1 "Ag" 650 451.272049509977 0.213718131803864
50 30 2 1 "Ag" 350 5700.76511179445 65.2580312484787
50 30 2 1 "Ag" 360 5652.79019556494 112.818802005029
50 30 2 1 "Ag" 370 5562.82330195009 221.988193999457
50 30 2 1 "Ag" 380 5459.33253128684 526.072427411832
50 30 2 1 "Ag" 390 5718.36146030719 1318.54255444064
50 30 2 1 "Ag" 400 6395.60996790278 1005.01559458828
50 30 2 1 "Ag" 410 6607.15566965052 453.464812871922
50 30 2 1 "Ag" 420 6474.27022439853 229.770307637377
50 30 2 1 "Ag" 430 6326.6413428295 135.102775317644
50 30 2 1 "Ag" 440 6223.54518071576 88.542935220746
50 30 2 1 "Ag" 450 6184.53676273617 62.8893563107422
50 30 2 1 "Ag" 460 6227.57331278011 47.7333435734041
50 30 2 1 "Ag" 470 6374.60201566724 38.5598598004091
50 30 2 1 "Ag" 480 6653.65924564514 33.2642318106093
50 30 2 1 "Ag" 490 7100.2994677955 30.9012216702097
50 30 2 1 "Ag" 500 7755.90177205638 31.1973985512239
50 30 2 1 "Ag" 510 8654.12384074983 34.3143611257396
50 30 2 1 "Ag" 520 9772.46097244758 40.5444764650725
50 30 2 1 "Ag" 530 10907.8346779178 49.5605468256051
50 30 2 1 "Ag" 540 11502.0283421713 58.9579683677026
50 30 2 1 "Ag" 550 10810.403621179 63.645068272619
50 30 2 1 "Ag" 560 8794.40241812964 60.0536793060113
50 30 2 1 "Ag" 570 6384.5292065612 50.7446622591669
50 30 2 1 "Ag" 580 4390.522491426 40.5538987160758
50 30 2 1 "Ag" 590 2997.01661541021 31.9984535827641
50 30 2 1 "Ag" 600 2081.2597121267 25.4795256267903
50 30 2 1 "Ag" 610 1484.91576653791 20.6412174094448
50 30 2 1 "Ag" 620 1091.21349256594 17.0378405999029
50 30 2 1 "Ag" 630 825.399654926249 14.3134573474046
50 30 2 1 "Ag" 640 641.417661556658 12.2147191317823
50 30 2 1 "Ag" 650 510.906101778863 10.5669830114127
1 30 2 1 "Pd" 350 5913.72641409203 4.14195897529142
1 30 2 1 "Pd" 360 5948.10009541316 3.95744826165153
1 30 2 1 "Pd" 370 5979.92025014781 3.79019367850447
1 30 2 1 "Pd" 380 5997.4816470216 3.63084403490738
1 30 2 1 "Pd" 390 5992.42600466088 3.46898438813861
1 30 2 1 "Pd" 400 5962.8015525598 3.29664206268577
1 30 2 1 "Pd" 410 5914.07298162005 3.11377399767525
1 30 2 1 "Pd" 420 5858.10205880404 2.92454337375142
1 30 2 1 "Pd" 430 5811.07954009742 2.73668071502912
1 30 2 1 "Pd" 440 5791.63278622353 2.56104961009728
